system:index,date,ice,ship,unknown,water,.geo
0,1546300800000,2.7910757458823502E7,3210.0,1.6529938584313715E7,173329.98823529412,
1,1546387200000,1.2237131521568615E7,827.0,1.479168538431372E7,47040.74901960784,
2,1546473600000,2.3017941874509804E7,2172.0,1.0676322694117643E7,204943.24313725493,
3,1546560000000,4111782.447058824,465.0,1452815.705882353,17875.850980392155,
4,1546646400000,1.896586857254898E7,3897.0,1.5858718658823503E7,52426.99215686274,
5,1546732800000,520797.79607843136,20.749019607843138,56000.76078431374,1191.2980392156862,
6,1546819200000,2.616002500392156E7,2676.0,1.8359191647058807E7,90313.9254901961,
7,0,0,0,0,0,
8,1546992000000,1.6232600149019603E7,371.56470588235294,8478020.066666659,206707.7019607845,
9,1547078400000,8205529.921568599,4015.0,8459472.639215648,6712.874509803922,
10,1547164800000,2.254581278823528E7,3421.0,9062932.258823505,50173.00392156862,
11,1547251200000,2.112644827843134E7,3665.0,1.2072019972549E7,28031.803921568626,
12,1547337600000,2932607.847058824,88.62352941176471,496753.9843137255,10398.266666666666,
13,1547424000000,2.5676888984313715E7,4255.0,1.1515756094117628E7,29351.90196078431,
14,1547510400000,2.662475679607843E7,3184.0,7193947.086274511,66626.27450980393,
15,0,0,0,0,0,
16,1547683200000,2.2455540403921522E7,4282.0,1.2390999647058792E7,26983.172549019604,
17,1547769600000,9071796.074509801,126.0,2112404.8980392157,17632.305882352943,
18,1547856000000,2354854.85490196,31.0,472212.44705882354,2897.9764705882353,
19,0,0,0,0,0,
20,1548028800000,1.8036113082352918E7,2700.0,6863251.619607837,15377.733333333334,
21,1548115200000,2.2957111862745095E7,2154.0,4427026.003921569,46021.44705882353,
22,1548201600000,1.0771767317647021E7,4502.623529411765,9173855.10588233,4801.325490196078,
23,1548288000000,1.9853533996078372E7,3682.0,1.3360217929411743E7,13291.129411764707,
24,1548374400000,3.2984031635294117E7,3931.992156862745,1.1574811133333324E7,54239.7294117647,
25,0,0,0,0,0,
26,1548547200000,2.7318750831372548E7,3652.0,6525703.721568626,45867.96862745097,
27,0,0,0,0,0,
28,1548720000000,2.201887267450975E7,3713.0,1.2838327666666646E7,19398.88235294118,
29,1548806400000,509963.3647058823,39.0,67715.74117647059,590.4313725490197,
30,1548892800000,2312890.9529411756,42.0,509235.2784313725,6473.498039215685,
31,0,0,0,0,0,
32,0,0,0,0,0,
33,1549152000000,2.206082837254902E7,2950.701960784314,5312983.0745098,60721.76862745098,
34,1549238400000,1.1166944015686233E7,2885.0,8745359.470588217,26210.23137254902,
35,1549324800000,9431863.243137255,1048.0,1739066.6235294116,44344.54509803921,
36,1549411200000,2.813547766666662E7,3868.0,1.633632238039214E7,141566.09411764707,
37,0,0,0,0,0,
38,1549584000000,2.296820319215684E7,3269.0,1.0663042694117634E7,264045.87450980395,
39,1549670400000,1.8571538341176465E7,2815.0,8776031.866666654,65989.01960784313,
40,1549756800000,1.4460857752941176E7,1943.0,4636076.796078427,60751.28627450982,
41,1549843200000,8095960.427450981,1420.0,3058120.5999999987,38703.36078431372,
42,1549929600000,7668047.298039216,631.0,4208022.1921568625,8298.082352941175,
43,0,0,0,0,0,
44,1550102400000,2.056989729019606E7,2005.0,1.3245693133333325E7,62598.99215686275,
45,1550188800000,2.1362583701960754E7,574.0,1.5415850015686257E7,93006.43921568627,
46,1550275200000,604738.1764705884,74.0,1479238.2784313723,228.0,
47,1550361600000,1.6611965301960735E7,715.0,1.6559414650980368E7,60479.10196078433,
48,1550448000000,2.4909370172548987E7,995.6156862745098,1.9626141129411746E7,80709.25882352941,
49,1550534400000,1.1673407027450977E7,511.0,1.537803243137255E7,11028.600000000002,
50,0,0,0,0,0,
51,1550707200000,4525890.031372548,59.0,1049876.9843137255,3433.039215686274,
52,1550793600000,1.2452232760784317E7,101.0,6691733.447058821,28690.568627450983,
53,1550880000000,6306514.964705883,94.62352941176471,4890404.925490197,10226.309803921567,
54,1550966400000,1.868579729019603E7,74.0,1.6767319713725481E7,89815.49411764707,
55,0,0,0,0,0,
56,1551139200000,1.8100736447058816E7,53.0,1.5248475439215668E7,534175.305882353,
57,1551225600000,1.7041392031372547E7,28.0,1.0322370050980387E7,57524.172549019604,
58,1551312000000,514220.13333333307,47.0,1572684.2470588225,48.0,
