system:index,date,ice,ship,unknown,water,.geo
0,0,0,0,0,0,
1,1459555200000,1.115828084705882E7,19.0,7930614.874509798,108827.82352941175,
2,0,0,0,0,0,
3,1459728000000,1607014.9254901963,0.0,1221868.4980392156,89061.85490196077,
4,1459814400000,2.1223742996078387E7,4.0,1.9562818219607815E7,425398.0823529413,
5,0,0,0,0,0,
6,1459987200000,1.417632519607842E7,3.0,1.3142983949019602E7,142379.74901960787,
7,1460073600000,1.438815048627448E7,0.0,1.833240790588233E7,320383.46274509816,
8,1460160000000,7129725.831372548,14.0,4024446.7372549023,148688.031372549,
9,0,0,0,0,0,
10,0,0,0,0,0,
11,1460419200000,1.7092145945098013E7,29.0,1.6648954427450962E7,221117.30588235296,
12,0,0,0,0,0,
13,1460592000000,9985300.64313725,23.0,8437301.552941171,763212.0235294119,
14,0,0,0,0,0,
15,1460764800000,1636016.9764705882,0.0,1171884.858823529,33566.76078431372,
16,1460851200000,2.0830744556862712E7,7.0,1.938816341176467E7,980643.603921569,
17,0,0,0,0,0,
18,1461024000000,1.4755655662745094E7,6.0,1.1420857207843123E7,1281519.7725490197,
19,1461110400000,1.6837551796078384E7,0.0,1.5177281572548995E7,1021297.8039215689,
20,1461196800000,6544635.768627452,5.0,4431294.278431374,333640.662745098,
21,0,0,0,0,0,
22,0,0,0,0,0,
23,1461456000000,2.179858692156862E7,21.0,1.0899979988235286E7,1278047.3882352943,
24,0,0,0,0,0,
25,1461628800000,1.3292398043137256E7,6.0,5642609.227450981,262565.0627450981,
26,0,0,0,0,0,
27,1461801600000,1840030.552941177,0.0,963492.5294117648,101072.20392156862,
28,1461888000000,2.4687767768627424E7,10.0,1.5864319913725454E7,642399.6588235301,
29,0,0,0,0,0,
30,1462060800000,1.7149369196078427E7,19.0,9147853.086274503,1154187.4784313724,
31,1462147200000,1.5313033462745056E7,0.0,1.6437006756862711E7,1294345.5372549018,
32,1462233600000,6838966.607843136,6.0,3892082.094117647,576958.431372549,
33,0,0,0,0,0,
34,0,0,0,0,0,
35,1462492800000,1.9834605835294105E7,11.0,1.109844387450979E7,3042808.8078431375,
36,0,0,0,0,0,
37,1462665600000,1.1609524556862747E7,2.0,6587430.945098036,1003810.1294117648,
38,0,0,0,0,0,
39,1462838400000,1515625.9882352946,0.0,1179673.521568627,155343.8431372549,
40,1462924800000,1.6730590223529408E7,30.0,2.0054734874509774E7,4407909.858823518,
41,0,0,0,0,0,
42,1463097600000,1.9452283886274505E7,13.0,6191561.352941174,1798498.454901958,
43,1463184000000,1.1573159019607842E7,0.0,1.9096090654901933E7,2392860.0627450966,
44,1463270400000,7971726.25882353,4.0,2613887.6039215685,706966.6705882353,
45,0,0,0,0,0,
46,0,0,0,0,0,
47,1463529600000,2.0436127380392153E7,18.0,1.106275212941176E7,2474737.0078431377,
48,0,0,0,0,0,
49,1463702400000,1.1618958552941171E7,9.0,6313436.87058823,1270036.5372549018,
50,0,0,0,0,0,
51,1463875200000,1804967.5333333332,0.0,910085.5450980393,151003.47450980396,
52,1463961600000,1.2090570258823518E7,19.0,1.4955008592156854E7,7830.78431372549,
53,0,0,0,0,0,
54,1464134400000,1.752040723529411E7,4.0,8620311.207843132,1315893.349019608,
55,1464220800000,1.0895826298039204E7,9.0,2.2064450615686256E7,47746.435294117626,
56,1464307200000,4901554.211764706,10.0,4458865.847058822,1871365.1254901967,
57,0,0,0,0,0,
58,0,0,0,0,0,
59,1464566400000,8673712.309803922,7.0,1.51646948117647E7,1.0130739243137253E7,
60,0,0,0,0,0,
61,1464739200000,6774443.156862745,23.0,8947891.411764702,3470782.486274506,
62,0,0,0,0,0,
63,1464912000000,1539470.7254901952,0.0,851676.2666666668,463635.8823529412,
64,1464998400000,8066289.039215684,0.0,2.7768064199999977E7,5376555.199999995,
65,0,0,0,0,0,
66,1465171200000,1.1708597254901959E7,11.0,1.1649279011764701E7,4016432.1294117635,
67,1465257600000,3866117.811764701,0.0,1.919006349803921E7,9984177.886274511,
68,1465344000000,1163130.835294118,5.0,5291261.274509805,4846611.454901961,
69,0,0,0,0,0,
70,0,0,0,0,0,
71,1465603200000,1283858.745098039,0.0,2700560.0705882353,2.9981493141176477E7,
72,0,0,0,0,0,
73,1465776000000,8540317.8117647,0.0,8720522.192156853,1932658.576470588,
74,0,0,0,0,0,
75,1465948800000,208719.40392156862,0.0,1143067.482352941,1477467.1568627455,
76,0,0,0,0,0,
77,0,0,0,0,0,
78,0,0,0,0,0,
79,0,0,0,0,0,
80,0,0,0,0,0,
81,0,0,0,0,0,
82,0,0,0,0,0,
83,0,0,0,0,0,
84,0,0,0,0,0,
85,0,0,0,0,0,
86,0,0,0,0,0,
87,0,0,0,0,0,
88,1467072000000,3838891.3058823533,0.0,2.2012574788235288E7,1218006.5176470592,
89,0,0,0,0,0,
90,1467244800000,4813450.545098037,0.0,1.4656497674509801E7,8037414.141176471,
